icao24,time,lat,lon,heading,velocity,baroaltitude,geoaltitude,label
1495,1638831050,50.48638916015625,12.932498329564144,119.0773314995167,251.9347350811884,12496.8,12245.340000000002,1
1495,1638831590,49.87657967260329,14.594891522381756,120.4241889298806,252.95635733188183,12496.8,12245.340000000002,1
1495,1638830180,51.41716003417969,10.164803169869089,116.98211954856151,252.8496185052905,11887.2,11620.5,1
1495,1638830990,50.55198669433594,12.746959485505755,118.98604117267368,250.5358125247634,12496.8,12237.72,1
1495,1638830510,51.068922139830505,11.2359619140625,117.77962072502173,260.49363545098447,12496.8,12237.72,1
1495,1638830800,50.75633239746094,12.160306363492401,118.51636255970631,249.99702463900206,12489.18,12252.96,1
1495,1638830500,51.08051364704714,11.20086669921875,117.67941740585049,260.2542655215229,12489.18,12230.1,1
1495,1638831120,50.40925598144531,13.148755525287829,119.26910946353635,253.58541062153873,12496.8,12237.72,1
1495,1638830740,50.821124577926376,11.971435546875,118.37924308610796,254.3508112672244,12496.8,12245.340000000002,1
1495,1638831290,50.217807575807726,13.67790428367821,119.75916239822004,256.0014150563139,12489.18,12237.72,1
1495,1638830950,50.59542846679688,12.623435572574012,118.89372587903242,249.13753313486177,12496.8,12245.340000000002,1
1495,1638830280,51.31256103515625,10.49060718433277,117.23364303093443,256.311365507495,11879.58,11612.88,1
1495,1638831420,50.07073974609375,14.077027973375822,119.97773052866488,251.21781228033225,12496.8,12237.72,1
1495,1638830580,50.994997186175844,11.457748413085938,118.05893702963444,255.92076645065342,12489.18,12245.34,1
1495,1638830770,50.78895698159429,12.065353393554688,118.38748386471089,253.20105873603748,12496.8,12245.340000000002,1
1495,1638831130,50.39833715406514,13.179139833192568,119.26910946353635,253.58541062153873,12496.8,12237.72,1
1495,1638830330,51.25955200195313,10.654734018686655,117.33927134200606,255.3969659960828,12054.84,11780.52,1
1495,1638831300,50.20646667480469,13.708913702713811,119.71624056975362,255.29954082553039,12489.18,12237.72,1
1495,1638831200,50.319850081104356,13.397530220650339,119.40171127820344,255.68694865463985,12496.8,12237.72,1
1495,1638830610,50.9621778585143,11.555709838867188,117.9572038328472,255.679185548772,12496.8,12245.340000000002,1
1495,1638831460,50.02542114257813,14.199034038342926,119.86089385318071,252.1095794806911,12489.18,12230.1,1
1495,1638830350,51.2384033203125,10.71968697212838,117.34277417134165,254.2467397361626,12153.9,11887.2,1
1495,1638830850,50.70281982421875,12.315154204497464,118.62934734601718,249.0934448119944,12489.18,12237.72,1
1495,1638830860,50.69224548339844,12.345663534628384,118.68614757373943,248.64202011359544,12489.18,12237.72,1
1495,1638830260,51.33357238769531,10.425505766997468,117.23665714612982,255.1611124245765,11887.2,11620.5,1
1495,1638830230,51.36442565917969,10.329820787584461,117.23969855932523,254.01086005419015,11887.2,11620.5,1
1495,1638830940,50.6063232421875,12.592355828536189,118.79004004307005,248.8893682717641,12489.18,12237.72,1
1495,1638830720,50.84275817871094,11.908288904138516,118.32426011837849,254.80354713440047,12496.8,12245.340000000002,1
1495,1638830470,51.11244848219015,11.104202270507812,117.79592598507126,257.0434259452862,12496.8,12237.72,1
1495,1638830430,51.15499877929688,10.975119101034627,117.65577286355992,253.80917331332557,12443.46,12184.38,1
1495,1638831440,50.04798889160156,14.138320119757399,120.07926038035104,251.4752559250388,12496.8,12237.72,1
1495,1638831450,50.03704833984375,14.167809737356086,120.02061873525084,251.9205531897744,12489.18,12230.1,1
1495,1638831570,49.89944458007813,14.534622995476973,120.36528477972237,253.40009628402103,12496.8,12245.340000000002,1
1495,1638831370,50.12675139863613,13.925764754011825,119.94677850135434,253.5144329669061,12496.8,12245.340000000002,1
1495,1638831410,50.08178193690414,14.047282450907938,119.91920868855749,251.6635650701039,12489.18,12237.72,1
1495,1638830600,50.97225952148438,11.525548986486484,118.05893702963444,255.92076645065342,12489.18,12237.72,1
1495,1638830450,51.133350436970346,11.040878295898438,117.60196564160809,254.2649553290578,12489.18,12230.1,1
1495,1638830250,51.343813104144594,10.3936767578125,117.28962042017888,254.70381686868882,11887.2,11620.5,1
1495,1638831520,49.95726013183594,14.381392629523024,120.26481864087046,253.14042830032216,12496.8,12237.72,1
1495,1638831010,50.53040585275424,12.808128563133446,118.92913076299746,250.98593994504242,12496.8,12245.340000000002,1
1495,1638830460,51.12295532226562,11.072511415223818,117.699472808055,255.6538244268129,12489.18,12230.1,1
1495,1638830870,50.68208312988281,12.37498515361064,118.68614757373943,248.64202011359544,12489.18,12237.72,1
1495,1638830240,51.354194253177965,10.361557006835938,117.18668081225205,254.4683608751389,11887.2,11620.5,1
1495,1638831070,50.46472064519333,12.993411502322635,119.0773314995167,251.9347350811884,12496.8,12237.72,1
1495,1638831240,50.27439880371094,13.522579795435856,119.60217728439541,256.1936285095195,12489.18,12237.72,1
1495,1638831380,50.115765070511124,13.95553176467483,119.90395549059821,252.8119352185991,12489.18,12237.72,1
1495,1638830820,50.73504638671875,12.221993111275339,118.5820485379568,248.39549110013985,12504.42,12252.96,1
1495,1638831160,50.36454022940943,13.273414405616554,119.25690298993486,254.7344673038919,12496.8,12237.72,1
1495,1638831510,49.9683837890625,14.35190301192434,120.20623643497936,253.58488879952068,12489.18,12230.1,1
1495,1638831260,50.25196838378906,13.584305612664473,119.50204349603337,255.93989694451287,12496.8,12237.72,1
1495,1638830440,51.14405745166843,11.008453369140623,117.65577286355992,253.80917331332557,12473.94,12214.86,1
1495,1638830960,50.584716796875,12.653864810341284,118.99720502038994,249.38651226477575,12496.8,12245.340000000002,1
