icao24,time,lat,lon,heading,velocity,baroaltitude,geoaltitude,label
1,1638831610,41.1548346050715,33.85781607776988,128.00485738804366,246.3748590671488,11277.6,11407.14,0
2,1638831610,39.4514416710805,29.8343064453125,172.54079736437282,190.61535153272524,11879.58,11986.26,0
3,1638831610,38.98824768066406,28.09116626613451,140.2363583092738,217.7773066304487,11894.82,11917.68,0
4,1638831610,39.6282470703125,27.128011597741168,146.62024725500402,208.71131532956025,11277.6,11292.84,0
5,1638831610,39.77340393066406,33.35940914359715,139.6413531999684,219.8137143927866,11879.58,12016.74,0
6,1638831610,40.46842185844809,29.5243962779652,342.8475942124783,236.8741662542467,7802.88,7901.94,0
7,1638831610,40.434438724841094,31.203119699928976,114.23226931920266,245.28295411482983,11277.6,11376.66,0
8,1638831610,41.515567895921606,30.91342787972384,265.52970589993413,187.64293071211424,8732.52,8892.54,0
9,1638831610,41.85609751555879,32.10857430732195,117.49099731224264,246.74621371050114,11308.08,11391.9,0
10,1638831610,41.296632721464505,33.50069799138849,127.24899034626172,240.5601073163556,11887.2,11993.88,0
11,1638831610,38.169125366210935,30.96545800989029,16.523161222747426,239.0599749712316,12192.0,12352.02,0
12,1638831610,41.46731262207031,33.079222494229406,129.75850045036128,258.4441550629133,12504.42,12550.14,0
12,1638831620,41.45877416578389,33.09906843659157,129.55466598600674,259.0837195979889,12504.42,12557.76,0
11,1638831620,38.186338056144066,30.967972110648777,16.654425046006594,238.60795722966088,12184.38,12344.4,0
2,1638831620,39.4341552734375,29.84133610309103,172.40074882287237,190.7702981978308,11887.2,11993.88,0
1,1638831620,41.14449768066406,33.88343974609375,128.00485738804366,246.3748590671488,11277.6,11407.14,0
9,1638831620,41.84944054555085,32.136806615643174,117.49099731224264,246.74621371050114,11323.32,11407.14,0
10,1638831620,41.2857177734375,33.528764453125,127.40372180724088,241.4894629274762,11887.2,11993.88,0
7,1638831620,40.42880590406514,31.232333345170453,113.58971939941574,246.16263609497292,11277.6,11376.66,0
8,1638831620,41.51170406018273,30.89330756949492,265.52970589993413,187.64293071211424,8648.7,8778.240000000002,0
5,1638831620,39.761014052568854,33.378862109375,139.46081554822712,219.88279978829564,11887.2,12024.36,0
4,1638831620,39.61400208554025,27.1453416015625,146.71835800165547,208.35829952259667,11277.6,11292.84,0
3,1638831620,38.97446744239936,28.11329814453125,140.06975725233698,218.56371186373804,11894.82,11917.68,0
6,1638831620,40.488160007282836,29.51116274636009,342.89948983735746,236.1817460173357,7741.92,7840.98,0
6,1638831630,40.507618842690675,29.498116481711648,343.0041616059134,234.7975165734382,7680.96,7772.4,0
4,1638831630,39.59985020524365,27.16261455078125,146.6256541974991,207.9840734967193,11277.6,11292.84,0
5,1638831630,39.747311401367185,33.40036904084579,139.44325710902086,219.1586741459088,11887.2,12024.36,0
3,1638831630,38.961432815810376,28.13343974609375,140.16830211643955,218.8952082010997,11887.2,11910.06,0
12,1638831630,41.44634471828654,33.12838660292515,129.1609435826059,259.223836522684,12496.8,12542.52,0
11,1638831630,38.21421508789063,30.972119932263965,16.654425046006594,238.60795722966088,12184.38,12344.4,0
10,1638831630,41.275830078125,33.55397197265625,127.5033876888319,242.87683071998904,11887.2,11993.88,0
8,1638831630,41.50704650878906,30.869472405450992,265.4923461989688,187.14484816252636,8542.02,8671.560000000001,0
7,1638831630,40.42363860566737,31.26173425736861,112.59095061267254,247.2348607784886,11277.6,11384.28,0
9,1638831630,41.84194641113281,32.16829359463778,117.6004271385316,246.90130146818694,11353.8,11437.62,0
2,1638831630,39.41708068847656,29.848262266474183,172.44503033083956,191.2607235581553,11894.82,12009.12,0
1,1638831630,41.13290850105932,33.91231076216264,127.9509690278902,246.82917927675044,11277.6,11407.14,0
2,1638831640,39.398325567730396,29.85585185546875,172.62853107153506,191.5970758549584,11894.82,12001.5,0
1,1638831640,41.12406357587393,33.93434584073153,127.9509690278902,246.82917927675044,11277.6,11407.14,0
6,1638831640,40.52779846191406,29.4846970703125,343.05515281696523,232.9554042300892,7620.0,7711.44,0
5,1638831640,39.73417358398437,33.42108782269022,139.44325710902086,219.1586741459088,11887.2,12031.98,0
4,1638831640,39.58602419061176,27.1795212890625,146.6256541974991,207.9840734967193,11277.6,11292.84,0
3,1638831640,38.948165428032304,28.15358134765625,140.15291423022586,218.17026810201745,11887.2,11910.06,0
10,1638831640,41.264706420898435,33.5821091796875,127.70977363575886,243.35361594569363,11887.2,11993.88,0
7,1638831640,40.41884372517214,31.29132243652344,111.87097779553382,247.58648256082353,11269.98,11376.660000000002,0
9,1638831640,41.83505590406514,32.19742304233285,117.6004271385316,246.90130146818694,11376.66,11460.48,0
13,1638831640,41.96943359375,30.34462554820668,75.20946561651617,257.46536762073305,9867.9,9936.48,0
8,1638831640,41.50276603052172,30.84725441497093,265.4923461989688,187.14484816252636,8450.58,8572.5,0
11,1638831640,38.23572998046875,30.97539245553524,16.772159966113563,238.6680963553573,12184.38,12352.02,0
12,1638831640,41.431029032044485,33.16530287198153,128.82039746053536,258.9258162741845,12496.8,12534.9,0
12,1638831650,41.427491061970336,33.17385472966974,128.82039746053536,258.9258162741845,12504.42,12550.14,0
11,1638831650,38.25667848748676,30.978540480638582,16.90408256148168,238.21856362086717,12192.0,12359.64,0
14,1638831650,40.84434204101562,29.718217578125,116.14133396701202,237.9625416550274,8122.92,8199.12,0
1,1638831650,41.12406357587393,33.93434584073153,127.9509690278902,246.82917927675044,11277.6,11407.14,0
2,1638831650,39.381520209878175,29.8626267578125,172.67207822275878,192.0881139812352,11887.2,12001.5,0
